Department/Source,Name,Person,Gender,Reference,Comments,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
Administrator,De Young Museum,M. H. de Young,M,Fine Arts Museums,,4,10,36,21,21
LIBRARY,Chinatown/Him Mark Lai Branch Library,Him Mark Lai,M,,Library,4,10,36,21,21
Administrator,Flynn Pumping Station,Bruce Flynn,M,Public Utilities Commission,,4,10,36,21,21
SFMTA,Richard Gamble open space at the west end of the Sunset Tunnel,Richard Gamble,M,,Not in SF Data,4,10,36,21,21
LIBRARY,Koret Auditorium,Koret (Family?),F & M,,Family,4,10,36,21,21
SFMTA,Cameron Beach Yard,"Cameron Beach, Transit board member",M,,Not in SF Data,4,10,36,21,21
Administrator,Veterans Building - Herbst Theater,Herman and Maurice Herbst,M & M,Veterans Building,,4,10,36,21,21
REC AND PARKS,Joseph Lee Recreation Center,Joseph Lee,M,,park,4,10,36,21,21
REC AND PARKS,"Mark Bingham Gym, Eureka Recreation Center",Mark Bingham,M,,facilities and other amenities,4,10,36,21,21
Administrator,Jeannik Mequet Littlefield Intermezzo Lounge,Jeannik Mequet Littlefield,F,War Memorial Opera House,,4,10,36,21,21
Administrator,Thomas J. Cahill Hall of Justice,Thomas J. Cahill,M,City Administrator,,4,10,36,21,21
Administrator,M. L. King Childcare Center,Martin Luther King,M,Public Works,,4,10,36,21,21
LIBRARY,Fulton Conference Room,Fulton (family?),F & M,,Family,4,10,36,21,21
Administrator,Dianne and Tab Taube Atrium Theatre,Dianne and Tab Taube,F & M,Veterans Building,,4,10,36,21,21
REC AND PARKS,"Thelma and Henry Doelger Primate Discovery Center, SF Zoo",Thelma and Henry Doelger,F & M,,facilities and other amenities,4,10,36,21,21
Administrator,Louis M. Davies Symphony Hall,Louis M. Davies,M,Davies Symphony Hall,,4,10,36,21,21
LIBRARY,Martin Paley Conference Room,Martin Paley,M,,main library 3rd Floor,4,10,36,21,21
Administrator,Sojourner Truth Child Center,Sojourner Truth,F,Public Works,,4,10,36,21,21
Administrator,J.M. Woods Div-Operators,J. M. Woods,M,Municipal Transportation Agency,,4,10,36,21,21
REC AND PARKS,(Josephine Dow) Randall Museum,Josephine Dow,F,,park,4,10,36,21,21
Administrator,Diane B. Wilsey Center for Opera,Diane B. Wilsey,F,Veterans Building,,4,10,36,21,21
Administrator,Brooks Hall,Thomas A. Brooks,M,City Administrator,,4,10,36,21,21
LIBRARY,Noe Valley / Sally Brunn Branch Library,Sally Brunn,F,,Library,4,10,36,21,21
Administrator,Fire Chief's Residence,Dennis T. Sullivan,M,Fire Department,,4,10,36,21,21
Administrator,MOSCONE NORTH,George R. Moscone,M,City Administrator,,4,10,36,21,21
Administrator,MOSCONE CENTER Parking Garage,George R. Moscone,M,Municipal Transportation Agency,,4,10,36,21,21
RED,"City Hall, 2nd Floor, Buck Delventhal Rotunda",Buck Delventhal,M,Longtime Deputy City Attorney,,4,10,36,21,21
PUC,Alex Pitcher Community Room,"Alex Pitcher, Jr.",M,,Civil Rights Attorney,4,10,36,21,21
Administrator,Curtis E. Green LRV Facility Annex Bldg,Curtis E. Green,M,Municipal Transportation Agency,,4,10,36,21,21
Administrator,Bill Graham Civic Auditorium,Bill Graham,M,City Administrator,,4,10,36,21,21
